#Avec éclaircies à 102 ans
temps;Ddom;Dmoy
15;5.26703646667108;1.21562408705259
18;6.93972093711378;1.48095840807748
18;6.93972093711378;4.26391753878232
21;8.98056910527248;5.51261026010484
24;10.8628918608592;6.55762640065925
27;12.6927831459078;7.47253442506315
30;14.5035879161767;8.28861747645638
33;16.2775777156376;9.02470052969659
36;18.0006395997781;9.6949379534616
36;18.0006395997781;12.2626946337916
39;19.6645239354764;13.1958640807672
42;21.2672753143838;14.0443043049969
42;21.2672753143838;16.9601455196043
45;23.0723969621168;18.3329760202733
48;24.7298243860391;19.5675565069756
48;24.7298243860391;21.8648785945136
51;27.0170564054232;23.9045922046021
54;29.0676398358838;25.7205806485125
54;29.0676398358838;27.381093049531
57;31.8032374836946;29.9986662349743
60;34.2554754114354;32.3402106165318
63;36.4735920570692;34.4540216993101
63;36.4735920570692;35.6642002133135
66;39.1489119697816;38.3000802410803
69;41.585601168631;40.6996747658754
72;43.8168548119931;42.8958960479075
75;45.8713659975454;44.9172486740359
75;45.9969905893409;45.9969905893409
78;48.486199147767;48.4861991477669
81;50.7923825282023;50.7923825282023
84;52.9339060610513;52.9339060610513
87;54.9308605124052;54.9308605124052
90;56.7991887721405;56.7991887721405
90;57.7987390947306;57.7987390947306
93;60.0392644774507;60.0392644774506
96;62.1461724290918;62.1461724290918
99;64.1299922344247;64.1299922344247
102;66.0020153067445;66.0020153067445
